description,data_hash,best_cps,best_sps
EQUIPO ADMINISTRACION CON BOMBA FREEGO + BOLSA X 1500 ML,b22b9eaca8fd93b7bb0edd1f9bbb5c1e,0.0385117907752771,0.1001151840781248
,,,
,,,
,,,
,,,
,,,
ACETAZOLAMIDA 250 MG TABLETA,2d6aeda9dadf2fab42e89dc39b588f2b,0.0033445029383436,0.1075711865927313
,,,
,,,
,,,
RINGER /LACTATO DE SODIO HARTMAN 3.000 ML (6),3df75461d753977d210b2c1924427a6b,0.0385117907752771,0.1001151840781248
AMIKACINA (SULFATO) 500 MG/2 ML SOLUCION INYECTABLE,b78bd8b59729bd06af0cae9a483823ab,0.05,0.1
,,,
